,Token,Freq
0,3m,730
1,a_o_smith,53
2,abbott,593
3,abbvie,123
4,accenture,313
5,activision,1078
6,acuity_brands,5
7,adobe,4447
8,advance_auto_parts,65
9,amd,5095
10,aes,364
11,aetna,497
12,amg,177
13,aflac,134
14,agilent,177
15,air_products,73
16,akamai,236
17,alaska_air,86
18,albemarle,148
19,alexandria_real_estate,3
20,alexion,87
21,align_technology,27
22,allegion,28
23,allergan,363
24,alliance_data,59
25,alliant_energy,45
26,allstate,570
27,google,17909
28,altria,229
29,amazon,7600
30,ameren,137
31,american_airlines,1621
32,american_electric_power,65
33,american_express,1722
34,aig,1544
35,american_tower,27
36,american_water,68
37,ameriprise,281
38,amerisourcebergen,40
39,ametek,20
40,amgen,262
41,amphenol,64
42,anadarko,169
43,analog_devices,119
44,andeavor,33
45,ansys,198
46,anthem,1192
47,aon,371
48,apache,1198
49,aimco,76
50,apple,20177
51,applied_materials,63
52,aptiv,30
53,adm,177
54,arconic,26
55,arthur_j_gallagher,40
56,assurant,48
57,at&t,6252
58,autodesk,812
59,adp,203
60,autozone,117
61,avalonbay,7
62,avery_dennison,47
63,baker_hughes,204
64,ball_corporation,48
65,bank_of_america,2211
66,baxter,519
67,bb&t,145
68,becton_dickinson,38
69,berkshire_hathaway,650
70,best_buy,715
71,biogen,160
72,blackrock,339
73,h&r_block,329
74,boeing,12752
75,borgwarner,106
76,boston_properties,49
77,boston_scientific,102
78,brighthouse_financial,18
79,bristol_myers_squibb,238
80,broadcom,487
81,brown_forman,76
82,c_h_robinson,71
83,ca_technologies,95
84,cabot_oil,10
85,cadence,248
86,campbell_soup,129
87,capital_one,277
88,cardinal_health,95
89,carmax,54
90,carnival,1793
91,caterpillar,1669
92,cboe,86
93,cbre,58
94,cbs,8521
95,celgene,126
96,centene,52
97,centerpoint,99
98,centurylink,592
99,cerner,70
100,cf_industries,16
101,charles_schwab,85
102,charter_communications,291
103,chesapeake_energy,55
104,chevron,1508
105,chipotle,567
106,chubb,171
107,church_&_dwight,62
108,cigna,333
109,cimarex,6
110,cincinnati_financial,6
111,cintas,29
112,cisco,2386
113,citigroup,1833
114,citizens_financial,75
115,citrix,874
